TIC,period,period_err,t0,t0_err,morph,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf,tsne_x,tsne_y,ra,dec,tmag,glon,glat,teff,logg,abun
1450518,0.3337473920234986,4.4925932704553695e-06,1438.085616901191,0.0010285082148584,0.6499378,0.0024328589778701,0.4971455292666146,0.3257410852868513,0.2501989394910376,0.3353034417852806,0.3334639616457411,0.9993384160631712,0.4967433663508021,0.1434807530770246,0.1517284207952219,0.2422620705376716,0.2216602939419638,60.75308,18.291862,75.2040945909976,-32.2110251899151,11.2574,234.439780799759,-36.339516734425,4171.0,4.25845,None
1630438,0.390523080453953,1.065383095688599e-06,1571.250525732968,8.158023297255568e-05,0.9888965,nan,nan,nan,nan,nan,nan,0.9995387567934274,0.499226235476598,0.2492562442507893,0.2179768467912198,0.0284364209609109,0.0261618155886289,62.259163,-24.566788,188.135358103416,-15.5229164673823,9.893,296.237157563927,47.103048914591,6333.0,4.00432,None
1630690,0.413660519752893,1.2487833836449802e-06,1571.173452482092,6.079731565478141e-05,0.9653686,nan,nan,nan,nan,nan,nan,0.9992530048684028,0.500005816263923,0.2541824858204511,0.2283327803163251,0.0605925803168621,0.0577702344130606,62.494057,-25.462141,188.192443631727,-16.4388612966394,10.0492,296.458292087712,46.1981033861425,6391.0,4.12195,None
2020964,2.942335911964015,5.67953042995839e-06,1519.302411551579,1.1307977837180234e-05,0.5587546,0.9997966076541488,nan,0.1978172446194162,nan,0.3383920924079052,nan,1.0106691172221758,0.9288751682116352,nan,nan,nan,nan,3.5590904,41.438076,133.458629007357,-25.0842572337473,8.2918,249.935755745917,12.5321559110344,6269.0,3.27994,None
2234723,2.462068999164688,0.000766320595773,1816.6456607470525,0.5299851474342177,0.5936281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.57709,-37.534874,79.6298018521946,33.1646440551096,8.18778,173.28568396358,-2.54483501500939,11906.0,4.21285,None
2236015,4.134660388193501,1.0390411035565704e-05,1819.1712575410909,6.238681407921831e-06,0.37343228,0.9999787751540196,0.5000086817264633,0.0655729770123769,0.0682756094746717,0.4402104032649405,0.4069527422816483,0.9999789527284904,0.5000110450002557,0.0463812784408792,0.0475928273131009,0.3936009255389283,0.3665844831049956,-43.45575,47.437103,79.5787333455014,33.7673667473254,6.21412,172.767486989599,-2.23334069193842,10641.0,3.95164,None
2353789,1.871700004199874,6.195183107893243e-05,1518.7637289440288,0.0004529747593551,0.4248873,8.060001999995396e-05,nan,0.0724150766953404,nan,0.0307431231809975,nan,0.9999067817187026,nan,0.0498447307627732,nan,0.0267668497741198,nan,-16.416954,4.457857,134.278107691672,-28.7728940921682,11.3832,253.337413912491,10.7880251457877,6969.0,3.91241,None
2372579,9.921097604307176,0.0001844187704733,1664.7848216568702,0.0005659958596879,0.081996724,0.9999320453349674,nan,0.0179506510122962,nan,0.1668900181997019,nan,0.999998964901138,0.3173729847457285,0.0126729647740682,0.1431511109240472,0.1517943511293258,0.0052382984306952,-63.902225,-2.778514,288.917045886714,-28.6892270211434,9.96237,9.11610722771503,-17.5349521320895,5417.0,4.22333,None
2595273,2.1129221795233835,0.0085716637902275,1817.1235064972368,0.0234437221090502,0.4208231,nan,nan,nan,nan,nan,nan,0.9939255026119136,nan,0.0621553213892104,nan,0.0036096380431167,nan,4.005715,-49.409935,80.134695252313,33.5261119027779,11.3246,173.230625788354,-1.99209281945441,5533.6,4.41094,-0.516
2758565,3.768547795319269,0.0098131280800273,1359.372387816038,0.0043432275349796,0.6575024,0.295247385002307,nan,0.0570643004521665,nan,0.0254046758574766,nan,0.998638990693998,nan,0.3005679765732558,nan,0.0144380614663977,nan,25.949469,-29.820858,356.283144750421,-17.4491901164213,12.3611,61.8009365408317,-71.8933301128382,5807.0,4.31866,None
