# tess_id,signal_id,bjd0,bjd0_uncert,period,period_uncert,morph,morph_dist,ra,dec,tmag,glon,glat,teff,logg,abun
91961,1,1602.8226998335715,0.0002366189687563,5.282624782288264,0.000121253549385,0.17515019,0.000215591,221.698,-23.9199,12.392,334.203801,31.855091,None,4.83973,None
101462,1,1413.823651625243,0.0001676637507443,4.173981511271934,1.4806559972768696e-05,0.16643134,0.000228135,222.057654059134,-24.6132063405022,9.8313,334.123865785436,31.0911990833495,5019.0,None,None
120016,1,1600.0786615958646,0.0484351200677792,0.3263707518690648,2.938311345568323e-06,0.8491125,0.00346958,222.577327866056,-24.4277361817377,7.512,334.70889159173,31.0090878928555,5721.0,None,None
627436,1,1438.2958480004145,0.0002658861426425,0.5789057862422816,8.467299382752812e-07,0.8170643,0.000667018,73.0473116155493,-25.1940848965732,11.7158,225.408805296206,-36.4755362442976,7295.0,4.02084,None
737546,1,1438.1352916872074,0.0001628426462048,3.067745211180005,9.883432786583768e-05,0.5675736,0.001256767,74.5150265727806,-29.933010295965,10.5401,231.518527193858,-36.4205661436921,7068.0,3.4795,None
927579,1,1516.2618093414712,0.0006074732349385,6.070557406048653,0.0004239436476698,0.33067125,0.028604078,127.130028212718,-13.8721553476185,13.1222,237.002387889225,14.2309439555858,3539.0,4.82055,None
1003831,1,1518.9708579695666,0.7137811158044658,1.65114895631773,9.406583641791144e-06,0.23515359,0.013313918,130.295164748118,-16.036279996188,10.6701,240.629030752061,15.5538443257053,5550.0,4.32801,None
1045298,1,1411.1444683007473,0.0012825124993014,1.4634138874054945,7.641926786261521e-06,0.64083165,0.00155437,34.4267326239338,-8.27756969299357,10.686,174.224154055265,-62.2148690808326,5744.0,3.46601,None
1103432,1,1518.1364750548723,0.0334495878733393,3.7260483662668866,0.0022954886117463,0.3193605,0.008649245,130.581456698406,-17.1894351086033,12.8283,241.770759427991,15.1149188193083,6065.82,3.96992,-0.169824
1129033,1,1410.9458966364368,0.0388753152890331,1.360099597478122,7.082217497100807e-05,0.49678117,0.002645141,37.1551149287457,-7.06066074696713,9.62713,176.349874704825,-59.4362694699479,5605.0,4.49347,0.07
