TIC,period,period_err,t0,t0_err,morph
355151781,1.5807271624491424,4.508334792152624e-07,1545.2750441245148,0.0004135517301619,0.97849417
276935987,4.250727202623738,8.19424199658414e-05,1324.4012161186802,0.0062058083044576,0.66271687
349480507,1.562019238024497,1.781461720362643e-07,1355.4939385681755,0.0274219112425271,0.55238533
72121778,6.01177878105236,0.0003378114044387,1571.9945533090877,0.0008338953937254,0.16199571
390549095,1.8695386744970892,0.0001028456527245,1569.987336359168,0.0008883477987637,0.6438953
300443831,0.8474457196248042,1.520885551942186e-07,1354.4674388320611,0.0020958556319783,0.8831248
167338355,0.2883618665663066,2.2014396224290245e-06,1544.6686048066645,0.0014587874093194,0.7478842
294784522,0.4956178674791301,2.2654826348222912e-08,1354.2886330995436,0.0003801500786266,0.8475038
347752831,2.1646630315954742,3.0136267570313176e-06,1572.058929198523,0.0042248166464184,0.26042718
149473467,1.094885676665847,2.83061570649501e-06,1325.8484460354744,0.0012883175413662,0.60610867
278822321,0.639132714152842,9.650439252162355e-07,1545.3402889147196,0.0042213872004595,0.8064352
421191260,2.685763933243663,0.0096591271001575,1571.5979493316577,0.016258489524489,0.49265215
229889119,0.887519681702681,6.0645957689065e-07,1571.660672446014,0.0004291766549613,0.7503774
434515577,0.3166313276677385,5.315343301559583e-06,1571.1064750803002,0.0007066406096782,0.8800354
149976187,0.8968787973319602,2.166429435845885e-07,1492.3725367820728,2.544832227613369e-05,0.67384857
33715938,1.4392967572711306,6.037637434452847e-08,1325.2211897692885,0.3436627218145531,0.5291188
294092960,0.9022574627499684,4.467251699002972e-06,1571.4284154464729,8.910082244448838e-05,0.6713096
149629043,2.188110462694582,1.1686077283634688e-06,1545.76011813411,0.0001207344937483,0.45547011
93000166,2.85709264870464,8.713836171736489e-06,1571.4057216374574,0.0021913146522365,0.33233133
167891342,0.6335889267659544,2.594706489000842e-06,1544.9564930712254,0.0001516151062332,0.79658955
451960523,2.446120078572299,7.509504322289473e-05,1570.8666719829268,0.0007203330294487,0.5524711
107012110,3.031183242195293,0.001625348614139,1571.5208195256637,0.0006035329207077,0.34862494
135050395,6.75998772413221,1.365203508463253e-06,1574.4860467684298,0.0003826469371688,0.12307629
167123437,0.7671510391521091,1.9798028213502405e-06,1570.5480083058526,0.0003077953665524,0.5183903
23555025,4.74567750769707,0.0038224015205763,1546.0860827045951,0.0041240633187519,0.346299
320228013,6.8002103289281495,0.0001100812595282,1571.0530771601384,0.0035256432220611,0.5496346
458859193,1.1499139689089397,2.644028083143013e-06,1569.3954822237354,0.0016172162099792,0.60763085
391643922,17.796914192232567,0.0009074402549629,1592.111178582991,0.002010330519397,0.19672772
151826930,2.69527510452013,3.123435627339077e-05,1546.0428884667306,0.000224674492756,0.48475438
141606986,0.3438410600120637,9.01662698393757e-08,1325.4675797966818,0.0006989883299866,0.73105454
260161144,2.2341666119625487,1.621098532567089e-05,1571.0848490119547,0.0045779840882005,0.45761743
355152640,22.11895969659816,0.0002088169897369,1564.6608271905247,0.0001303739757076,0.21160868
22390773,11.305119462266282,0.0002511973227967,1572.0618458816684,0.0003475015744243,0.10855819
279569718,3.979403682498837,1.6828119501877126e-05,1356.108276864638,0.0007142730999021,0.35262284
454013359,5.147685967822286,5.983555633193305e-07,1575.2849795035163,0.0107253648659479,0.34499246
176937887,0.6574973756414273,2.9114179267430984e-07,1571.193008479217,0.0004591862957568,0.5386439
349832824,1.0407308933414785,1.7024916898478184e-07,1325.9322479859986,8.953396854849416e-05,0.5188633
294261093,2.6583151679355,5.002632151773767e-05,1568.5421231654186,0.000124364346255,0.6143056
391927558,0.5429778188018185,6.010857151983462e-05,1544.4148547919135,0.0116811685734319,0.64107764
350518984,23.91657581550514,0.000118435925966,1610.870612557767,0.0001309777690039,0.021245092
293109489,1.2650516600842403,0.0001987906356244,1571.251826341922,0.0038695435439422,0.45296475
350478924,0.4370845963889233,6.041814065715911e-08,1571.2917448585288,0.0002217319802184,0.7406857
423530755,4.684306875494079,7.635232505798228e-05,1573.2241903406318,0.0144212963461995,0.24227019
294273900,0.4722802821463517,2.81972518445528e-07,1329.015879135452,2.7805779404657007e-08,0.82939625
309659126,0.248270115150487,1.3329962006425333e-07,1354.4034598349244,0.0007752350823011,0.77234435
157175641,0.3702376695831755,8.096209975771984e-07,1570.7783689522375,0.0021596046115064,0.78902924
302043038,16.72120312443054,2.0775841026221545e-05,1546.6530544481109,0.0004486107827688,0.13092944
320855910,2.7546792707796555,7.437773742946518e-05,1571.091141841595,0.0198984707067211,0.4865672
405387285,0.9879181421260876,0.0006730650747863,1570.9667898833834,0.0005296979043123,0.9247322
278988794,7.592355236530742,7.601738894180698e-05,1328.4795320825694,0.0010081469370106,0.17348424
378885645,4.226176928086087,6.28216256526315e-06,1571.802328499346,0.0003242951156607,0.59235394
103777040,0.4732209748724831,3.963540235740748e-06,1571.2157293793966,0.0079965284587615,0.65191257
150361911,2.493852320702283,2.7987090356340616e-06,1545.543039616702,9.909552545650512e-05,0.4612081
280738935,1.5132066885483275,4.144564825492303e-05,1544.6143441311267,0.0004670285695738,0.54085404
294092966,0.9022623616987434,6.865396429134307e-08,1570.9800743919734,0.0002674373058653,0.67297125
466323338,21.338951075100717,0.0001869693715264,1578.9884032260588,0.0001971569788565,0.069700435
372909935,3.611118398672664,1.5392350118936804e-06,1574.0587157317532,0.0002946210709069,0.21513362
382266319,0.3442883440425044,2.28914109723366e-06,1468.3563006503302,0.0044729065607498,0.76876223
