,TIC,tsne_x,tsne_y
0,185259483,65.09345,-7.857746
1,307990280,52.161407,-26.382008
2,387178621,-7.4633617,20.607857
3,300560295,-67.13821,-8.118821
4,318185328,58.21874,10.395145
5,363326796,-54.025288,0.25109732
6,73764693,27.407894,-33.14995
7,31273263,-65.60186,-0.13056444
8,279955276,25.151516,-2.6558185
9,144167463,53.9627,-20.396557
10,364325969,77.46268,-10.784311
11,302038263,-11.275984,35.751892
12,176983267,66.56303,-23.747766
13,308751185,68.83162,-18.89706
14,341550561,57.92442,0.6970789
15,140757590,75.09251,-9.984997
16,140084919,66.430435,-24.920494
17,177118376,73.97671,-14.51761
18,388179896,54.276474,14.632564
19,177308817,-58.932407,-8.37675
20,142013583,67.69032,-21.145346
21,31415131,24.175581,27.966389
22,146530594,-50.898293,-11.06577
23,167719897,59.627243,-23.060509
24,391906858,56.68108,-16.722324
25,349911034,8.66973,12.700193
26,349642881,-25.444662,-12.828447
27,150101472,-22.680977,6.314736
28,22221233,48.687412,18.05437
29,93997745,52.201622,-24.469837
30,177258700,77.16062,-12.640643
31,189639080,-35.678787,0.07726984
32,382069441,20.407114,-15.825924
33,349518145,-39.22262,1.3671626
34,289801742,29.921228,31.090118
35,106309554,20.323515,22.802568
36,468997317,-2.6331406,-42.988144
37,167005326,29.11044,13.343375
38,321312438,-0.8399067,-33.16728
39,450276745,26.9636,43.615658
40,135244338,64.375435,-22.966162
41,181226974,-8.752758,6.1739035
42,5981829,6.1659985,22.479399
43,293081694,19.623537,3.3440082
44,457427613,10.0315695,-57.68122
45,167722431,35.670673,14.205721
46,167692491,59.15884,-22.912237
47,294206967,-9.639551,4.8428807
48,228760807,-16.211563,36.632885
49,295885511,-31.743204,38.3127
50,38586438,-44.14506,42.297085
51,398850090,-69.31081,8.9181595
52,73177813,21.981672,4.372897
53,30313682,-41.072178,49.70026
54,308085294,31.392775,-26.79425
55,300293197,10.464579,-53.00787
56,364302118,-2.161518,23.435469
57,272357134,-27.55489,30.51291
58,318986273,1.1656791,16.789253
59,261677352,53.637657,-7.40882
60,355151781,57.61026,-21.603884
61,276935987,39.712444,28.62565
62,349480507,-3.3812895,45.154705
63,72121778,-53.102276,1.2958328
64,390549095,23.040287,7.026021
65,300443831,70.49981,-18.387043
66,167338355,67.67456,13.32692
67,294784522,71.01909,-9.114463
68,347752831,-14.133299,-37.319527
69,149473467,16.532661,26.148785
70,278822321,47.964012,-20.720701
71,421191260,-20.260635,16.833344
72,229889119,53.120407,7.6307993
73,434515577,69.878624,-16.846935
74,149976187,39.896217,32.14073
75,33715938,-4.7739825,44.9735
76,294092960,20.779394,3.4422433
77,149629043,-34.319126,51.495735
78,93000166,-13.614692,-0.54768676
79,167891342,70.26782,-2.6692467
80,451960523,-10.885627,18.692566
81,107012110,-30.400385,-16.397598
82,135050395,-55.021076,-7.0293875
83,167123437,-5.826473,5.1143417
84,23555025,15.606537,-15.794406
85,320228013,-8.764132,-6.5300007
86,458859193,17.485218,-21.19209
87,391643922,-49.39622,-4.3607984
88,151826930,-26.95658,44.66151
89,141606986,57.600792,13.57768
90,260161144,-32.455112,48.65288
91,355152640,-62.970062,11.459578
92,22390773,-67.075714,9.708066
93,279569718,-30.558352,15.309569
94,454013359,-23.295883,12.154715
95,176937887,9.725373,17.34718
96,349832824,-10.716976,38.456432
97,294261093,-9.810291,27.357294
98,391927558,27.186642,21.073309
99,350518984,-69.19289,-5.786313
100,293109489,7.077315,-47.55209
101,350478924,45.075977,8.759003
102,423530755,-53.965828,32.269775
103,294273900,74.69397,-7.7515883
104,309659126,60.477245,2.6542904
105,157175641,62.46311,-1.9163955
106,302043038,-62.896366,6.1506114
107,320855910,-27.13719,46.689575
108,405387285,64.42137,-29.493757
109,278988794,-40.429966,2.019551
110,378885645,5.106117,20.651886
111,103777040,21.081116,-28.944733
112,150361911,-34.57577,52.459892
113,280738935,2.649086,6.1175704
114,294092966,23.378954,2.966534
115,466323338,-61.001816,-8.877724
116,372909935,-47.45559,-10.240777
117,382266319,60.525593,-2.7679486
118,38462522,-3.9410563,-34.681183
119,408512382,-40.261265,11.184644
120,231093356,-42.41203,49.031815
121,132298139,-52.108578,-20.382517
122,380127556,68.94039,-18.63061
123,32000625,20.40645,49.70198
124,162305237,58.79649,-33.78125
125,345899523,18.220095,47.37096
