TIC,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf
121009628,0.0008521730745009,0.4985064878270045,0.2998186502258158,0.2747240629526478,0.4177163415950624,0.3436400458909229,0.9948925669043812,NaN,0.0882295958772291,NaN,0.1176151913400076,NaN
121092386,NaN,NaN,NaN,NaN,NaN,NaN,1.0029429749008514,NaN,0.1856687191756622,NaN,0.0749943286026759,NaN
121134517,0.9991501519973602,0.5006375827717787,0.363436681228773,0.3738969310917842,0.254196749527802,0.253234605910011,0.9988643484147416,0.4999661407156655,0.1274546128878407,0.0906428191302709,0.0587524085994849,0.0552172571732171
129810365,NaN,NaN,NaN,NaN,NaN,NaN,0.9070972900948792,NaN,0.1336870306283417,NaN,0.0357550472293741,NaN
129888462,0.001968397141861,0.4999999404788796,0.2311878121476391,0.2036589237187758,0.4296215156264111,0.1116716628482039,1.0008091186344787,0.5009520130524104,0.1406806160955319,0.1361915404835809,0.370442193608294,0.0685560428748259
141126559,0.9995988149805236,NaN,0.3794960723419325,NaN,0.4083104048859802,NaN,0.999562280302138,0.5035058960512313,0.1857833367835205,0.2479931796531197,0.3277022835970333,0.066560590524217
141332108,0.9985202451915619,0.5072103885474937,0.2820521870201761,0.2781648455622293,0.0127318672331855,0.010116532721667,0.5029024488721472,NaN,0.1033616267966878,NaN,0.0039036173339307,NaN
152507230,0.0012936624781972,0.4959845934228707,0.2911948768719843,0.2584702758084081,0.4999898641269777,0.4303040613556876,0.4968760013747018,NaN,0.1081277508401242,NaN,0.1884522871399929,NaN
152592870,0.9998622054935441,0.4999994291130223,0.299737678450136,0.2946252882081964,0.4124017356228067,0.144569529805647,1.0031417133996254,0.505260489895613,0.1679066675518503,0.1678018862248851,0.3201609617933056,0.0627153601230203
153834085,0.5578512169828072,NaN,0.019255794609142,NaN,0.0070124910860368,NaN,-0.0063978812461327,NaN,0.0273862766707906,NaN,0.0066620571903227,NaN
156215585,0.0004674222470319,0.5005752266230854,0.1516046362316276,0.1723605764527214,0.3739589046737757,0.2264175862683721,1.0002008208321571,0.5006481309665305,0.1048866672704184,0.107138235796832,0.3334659786192591,0.2029858861430329
159950145,9.46115321092356e-05,0.4977804943381306,0.2904289724878768,0.2627518696302964,0.4047057910151131,0.3913493775035738,0.9965628431896046,NaN,0.0778499575647821,NaN,0.0983874040831978,NaN
165184400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166833457,0.0674728337855,NaN,0.0400166315990229,NaN,0.0310779554832775,NaN,1.055910625168024,0.2964835431030752,NaN,NaN,NaN,NaN
168674931,0.9998873153246154,0.4999999262921097,0.2160140630434606,0.2205754791689259,0.3757411829441248,0.1286514570794488,0.9998252576054968,0.5002833694697165,0.1370974472317767,0.1387673523556128,0.3222059145414917,0.0898777435390725
168675489,0.9987189827072052,0.5000008102562965,0.3567975332888786,0.2628915724208939,0.1365854180187791,0.1122548157058885,0.9995533601224752,0.496548103177562,0.15259030761091,0.1889126268413334,0.0841059570085422,0.0565149560227116
168697816,0.9974754034437527,0.503044294404807,0.2853928051161628,0.2530114526550761,0.0309507634112525,0.0168068576338213,0.5029617101631559,NaN,0.1481958956978828,NaN,0.008662263130005,NaN
168851294,0.9998651643411391,0.4999905496794174,0.2938852281616221,0.3298353654698093,0.3666549855657898,0.1032880218056231,0.9999397184114752,0.5004379352351668,0.1755248357175659,0.1843438965495666,0.3135344201667895,0.0621749655235204
170637811,0.9999598956522945,NaN,0.2467212740322545,NaN,0.1651468114225596,NaN,1.0003046540467282,0.5082152066342029,0.1448115394960748,0.1309176632048551,0.1214062417685355,0.078065070940031
170676440,NaN,NaN,NaN,NaN,NaN,NaN,1.0002396095792492,0.5054673849409774,0.1839299135534362,0.1116777084754265,0.2142445826641315,0.0185460836121149
178284730,0.0004094553698181,NaN,0.0373280164963148,NaN,0.0204076563285177,NaN,1.0000874384180454,NaN,0.0245194813910997,NaN,0.0164654744409773,NaN
179244391,0.000217429395687,0.5020545002015733,0.2991888028705755,0.2626011046524359,0.4025434362226012,0.3330699521707192,0.9975415166004103,NaN,0.0725567032716084,NaN,0.0841906958494789,NaN
197933923,0.9980996846302657,0.498914648187037,0.2793658855413832,0.2562803270098276,0.3743003552629381,0.3468270729021342,1.000986422985808,0.5012486998215029,0.1099195560541921,0.1260659746153894,0.1461079040775752,0.1116695455335543
198008281,NaN,NaN,NaN,NaN,NaN,NaN,1.009286834281466,NaN,0.1567910964940069,NaN,0.0067377480103049,NaN
219145901,NaN,NaN,NaN,NaN,NaN,NaN,1.0087081639594748,0.5195543039343549,0.2597910202123333,0.2311533591998327,0.071144506955276,0.044837783566447
219176881,0.0005674582257672,0.5024869551310229,0.3394294673644991,0.3457347573607866,0.1876136762237601,0.1649829061092141,1.0002287740065985,0.5009071570042356,0.1636906429673347,0.2014457430753064,0.1199612354100068,0.0944618839188671
219346326,0.00137143458604,0.5032572843082407,0.2926482645074922,0.3044784690777312,0.0714126612488524,0.0704644769741831,0.9982504023749332,0.5030677619650253,0.0969236813083979,0.1493121194448257,0.0301720772256591,0.0288982730880335
220042007,0.9990415914256078,0.4992068493786646,0.2009414096163745,0.2104715938160102,0.3965339997487352,0.135061578105893,0.999000324429728,0.4991487506233035,0.1292133467048641,0.1315863213914028,0.3489306116384454,0.1029779445828356
220420534,0.9996557140886886,0.500897201430636,0.159243546404208,0.1444141059985377,0.2815584409459265,0.0500699622142138,0.9994701903000736,0.5006626529521632,0.1042704990167678,0.0961911316754388,0.2476898551772119,0.0322725213478714
250386181,0.0021040832003948,NaN,0.0440225291423176,NaN,0.0030116055868865,NaN,-0.0241235408016691,NaN,0.0425816693651875,NaN,0.002527805412134,NaN
251078096,0.0001230220513577,0.5010104575353218,0.2911491945618256,0.2908277732081881,0.4468078937878769,0.1991600724704824,1.0006296440430855,0.500834133424835,0.1612853838059644,0.1378842980138888,0.3214810211727191,0.083747825407734
251094451,0.0017157509900277,0.4996316952260179,0.3206104842321572,0.2711132142411033,0.2286425538993253,0.2259774393811328,1.0004441016810024,0.4995285069117524,0.1115006046688309,0.0816352441323454,0.0655936857671469,0.0606978143427153
